,Branch Type,CASTLES,ERaBLE,Naive,Patristic(AVG)+FastME,Patristic(MIN)+FastME,Concat+RAxML
0,terminal,0.056184175335708686,0.0572102322123,0.056184175335708686,0.05626123,0.01804188,0.05370583473758753
1,terminal,0.1847646734655506,0.0704988104649,0.07040467430744164,0.07063858,0.00917945,0.06654026986007676
2,terminal,0.20970041818882232,0.264321461678,0.26069245107475686,0.2700452,0.06536298,0.23270601195963517
3,terminal,0.3467067917847656,0.378029230164,0.37737695981120317,0.38464945,0.0929655,0.35579193506921775
4,internal,0.014444596447444535,0.0376608152763,0.04664722490683035,0.03534185,-0.00145487,0.046027981476678075
5,terminal,0.043012861901903135,0.0464600820259,0.04543688266575741,0.04558246,0.01407771,0.04379162628596324
6,terminal,0.051200719265931144,0.0545136399659,0.054247123804048676,0.05446408,0.01526071,0.052978394761497745
7,internal,0.019088153246475625,0.02519394233,0.04036595792091973,0.02528856,0.00344021,0.023157632798646653
8,terminal,0.09908832449741115,0.12108789271,0.1161129385902056,0.11914714,0.03549715,0.11441278289145616
9,terminal,0.07094858520600886,0.0750550476529,0.07212279138533757,0.07301201,0.02003085,0.07043562349896682
10,terminal,0.03499734125916566,0.0382907113122,0.036811459290565986,0.03770687,0.00976623,0.03626587037125089
11,internal,0.003333395413801747,0.0107889583514,0.018550033141083208,0.01062743,0.00035543,0.011052576130823402
12,internal,0.0071055433648365965,0.0230325194199,0.06520350507743149,0.02338044,0.02082444,0.021290499507660283
13,internal,0.0023438378941103674,0.00110059273848,0.0007197720093833871,0.00107861,-0.00503621,0.0022065490120171177
14,terminal,0.1224033079136264,0.138613569482,0.12981300807129956,0.13891091,0.03440999,0.12226599622017316
15,terminal,0.10460151338941151,0.116577898539,0.10951722736003117,0.11378972,0.03796844,0.10696735390749729
16,internal,0.01374324561099106,0.0163645753084,0.014769891722447259,0.0170031,0.00111886,0.01834069783325514
17,terminal,0.06507362165780514,0.0731039113641,0.06852798170719232,0.07243298,0.01304816,0.06824011698066668
18,terminal,0.04617503113193099,0.0512244880594,0.04938022737883961,0.05142888,0.01208497,0.04706331268753584
19,internal,0.005185848884782397,0.0108309279333,0.016779227363514834,0.01096022,0.00287966,0.01207069668421486
20,terminal,0.03424988539875056,0.0507080703167,0.0475824405140533,0.05020807,0.01148836,0.04748085621481226
21,terminal,0.043364379592435005,0.0483551349691,0.04696933224972177,0.04813471,0.0088448,0.045714873394675296
22,terminal,0.037673575604144256,0.0414354466881,0.04059032773456903,0.041068,0.00831312,0.04008005383181561
23,internal,0.014321854186158216,0.0211423651499,0.03289320334013041,0.02151987,0.01049816,0.02056964479720556
24,internal,0.0020259057500420447,0.0007379880234,0.00025717448648919446,0.00130318,-0.0016689,0.0018374002959796725
25,terminal,0.03646691139145477,0.0557790511999,0.05198192787720523,0.05435703,0.01155091,0.052613890068745034
26,terminal,0.026612424880820384,0.0619106004876,0.05754269604251834,0.06058257,0.0102967,0.058163860736762885
27,terminal,0.025893979390827257,0.031393280482,0.02999511673831489,0.03135619,0.00572688,0.029151931363009292
28,terminal,0.05341275243122386,0.0602313320929,0.05646701308207243,0.05864056,0.01141997,0.0561318293125826
29,internal,0.002123472288923816,0.00665349281548,0.013381792136271695,0.00672536,0.01120059,0.00710315734643227
30,internal,0.001547844795114088,0.00298288280657,0.004764171545133124,0.00311081,-0.0015731,0.004036348463817962
31,internal,0.004645218316195784,0.0193219899563,0.08049937564260447,0.01884939,0.0055501,0.01760587924971712
32,internal,0.001197992272434649,0.000338618941119,0.0005890253685154189,0.00042211,-0.0004494,0.0010454678486607868
33,internal,0.004425608624079633,0.00190747144662,0.00400689629817396,0.00182321,0.00098924,0.002832118047743048
34,internal,0.007536272757354607,0.0103973411497,0.03368575671345306,0.01063617,0.00706932,0.008941924584294802
35,terminal,0.06017913122632185,0.0894481947736,0.08186553200739263,0.0885279,0.02738368,0.08577980294702557
36,terminal,0.04498373767165558,0.0519063930124,0.05027456734582535,0.05115214,0.01218301,0.04818703438840615
37,terminal,0.08104961403118913,0.0889742796932,0.0862905743179903,0.0870464,0.03289662,0.08535747254319932
38,internal,0.034135142569003706,0.0450715400698,0.06131524986558327,0.04518109,0.01309837,0.0431852931443834
39,terminal,0.04855031442841233,0.0693583783135,0.065664769901885,0.06965556,0.01205213,0.06773350433478097
40,terminal,0.08388998396698844,0.115608837441,0.10708688722536465,0.11494522,0.03394932,0.10727008426711562
