,Condition,Method,replicate,Quartet Type,Branch Type,l-true,l-est,log10(l-true),log10(l-est),|l-true - l-est|,log10(l-est/l-true)
0,no_variation,CASTLES (Taylor 33),001,unbalanced,terminal,0.07778773,0.08464045612433808,-1.1090889018990602,-1.0724220049054238,0.006852726124338085,0.03666689699363642
1,no_variation,CASTLES (Taylor 33),001,unbalanced,terminal,0.07655471,0.08382047301991619,-1.1160280843375905,-1.0766498926627592,0.007265763019916188,0.03937819167483123
2,no_variation,CASTLES (Taylor 33),001,unbalanced,internal,0.03662502,0.026121495038825503,-1.4362221294805027,-1.5830019702556495,0.010503524961174498,-0.1467798407751468
3,no_variation,CASTLES (Taylor 33),001,unbalanced,terminal,0.11193476,0.11524941726510811,-0.9510350275735677,-0.9383612618531757,0.0033146572651081146,0.01267376572039208
4,no_variation,CASTLES (Taylor 33),001,unbalanced,terminal,0.41056108999999996,0.4073203679052261,-0.3866222122937741,-0.3900638726351373,0.0032407220947738846,-0.003441660341363205
5,no_variation,CASTLES (Taylor 33),002,balanced,terminal,0.04104134,0.05707516243576491,-1.386778467947282,-1.2435528438349943,0.016033822435764906,0.14322562411228787
6,no_variation,CASTLES (Taylor 33),002,balanced,terminal,0.04078001,0.05678663050913901,-1.3895526720609617,-1.2457538998444786,0.016006620509139015,0.14379877221648293
7,no_variation,CASTLES (Taylor 33),002,balanced,internal,0.20953614,0.16773484308930142,-0.6787410607694933,-0.7753767132458733,0.04180129691069859,-0.09663565247638005
8,no_variation,CASTLES (Taylor 33),002,balanced,terminal,0.01304031,0.028901104821796225,-1.884712084241436,-1.5390855548615037,0.015860794821796226,0.3456265293799323
9,no_variation,CASTLES (Taylor 33),002,balanced,terminal,0.01286479,0.028646279704970717,-1.8905972986557775,-1.5429317718995064,0.015781489704970716,0.34766552675627116
10,no_variation,CASTLES (Taylor 33),003,unbalanced,terminal,0.16818154,0.16481463816015834,-0.7742216751023538,-0.7830042186713047,0.003366901839841646,-0.008782543568950888
11,no_variation,CASTLES (Taylor 33),003,unbalanced,terminal,0.11450948,0.13009704243194573,-0.9411585575052267,-0.8857325763829628,0.015587562431945728,0.05542598112226392
12,no_variation,CASTLES (Taylor 33),003,unbalanced,terminal,0.10116422,0.11582310159484147,-0.9949730626363746,-0.9362048093949688,0.014658881594841466,0.05876825324140585
13,no_variation,CASTLES (Taylor 33),003,unbalanced,terminal,0.10443826,0.11762121435045536,-0.9811403723785209,-0.9295143411473852,0.013182954350455356,0.051626031231135724
14,no_variation,CASTLES (Taylor 33),003,unbalanced,internal,0.01212167,0.004775898865869539,-1.9164375433857217,-2.320944878373627,0.00734577113413046,-0.40450733498790536
15,no_variation,CASTLES (Taylor 33),004,unbalanced,terminal,0.01003006,0.014885868230722254,-1.99869646901438,-1.8272258296894042,0.0048558082307222535,0.17147063932497583
16,no_variation,CASTLES (Taylor 33),004,unbalanced,terminal,0.0103042,0.015228430919115559,-1.9869857204371524,-1.817344842446968,0.00492423091911556,0.16964087799018443
17,no_variation,CASTLES (Taylor 33),004,unbalanced,internal,0.03035817,0.020762624959916532,-1.5177244113949881,-1.6827177407301266,0.009595545040083468,-0.16499332933513852
18,no_variation,CASTLES (Taylor 33),004,unbalanced,terminal,0.04104432,0.0445182713770772,-1.3867469350935135,-1.3514617074543944,0.0034739513770771988,0.035285227639119
19,no_variation,CASTLES (Taylor 33),004,unbalanced,terminal,0.05769819,0.06032728873748487,-1.2388378105070368,-1.2194861925488125,0.002629098737484868,0.019351617958224123
20,no_variation,CASTLES (Taylor 33),005,balanced,terminal,0.05670405,0.06672311602740531,-1.246385921180513,-1.1757236799676263,0.010019066027405314,0.07066224121288679
21,no_variation,CASTLES (Taylor 33),005,balanced,terminal,0.05698941,0.06598950705395612,-1.2442058391670834,-1.18052511583467,0.009000097053956123,0.06368072333241342
22,no_variation,CASTLES (Taylor 33),005,balanced,internal,0.009906980000000001,0.0072073767576113475,-2.004058713751005,-2.142222775085705,0.0026996032423886535,-0.13816406133470008
23,no_variation,CASTLES (Taylor 33),005,balanced,terminal,0.06711904,0.09190465992984109,-1.1731542638254262,-1.0366624676072695,0.024785619929841088,0.13649179621815663
24,no_variation,CASTLES (Taylor 33),005,balanced,terminal,0.0653421,0.08859401090264826,-1.1848069120436795,-1.05259563612476,0.023251910902648262,0.1322112759189196
25,no_variation,CASTLES (Taylor 33),006,unbalanced,terminal,0.17262222,0.17022591661221112,-0.76290330246621,-0.7689743186061999,0.002396303387788873,-0.006071016139990038
26,no_variation,CASTLES (Taylor 33),006,unbalanced,terminal,0.12851903,0.1452931089476139,-0.8910325609546091,-0.8377549832036686,0.016774078947613902,0.05327757775094048
27,no_variation,CASTLES (Taylor 33),006,unbalanced,terminal,0.01698245,0.030045100359865268,-1.7699996553920896,-1.5222263409713317,0.013062650359865268,0.24777331442075784
28,no_variation,CASTLES (Taylor 33),006,unbalanced,terminal,0.01657379,0.02970765697384127,-1.7805781682326944,-1.5271315994066341,0.013133866973841269,0.25344656882606026
29,no_variation,CASTLES (Taylor 33),006,unbalanced,internal,0.11117139,0.08145850758547032,-0.9540069642269886,-1.0890635509567768,0.02971288241452967,-0.1350565867297882
30,no_variation,CASTLES (Taylor 33),007,balanced,terminal,0.04087725,0.05593424589911769,-1.38851832887133,-1.2523222126658693,0.015056995899117694,0.13619611620546065
31,no_variation,CASTLES (Taylor 33),007,balanced,terminal,0.04119206,0.056944483800223614,-1.3851864885907572,-1.2445483395594816,0.01575242380022361,0.1406381490312757
32,no_variation,CASTLES (Taylor 33),007,balanced,internal,0.08070948,0.05351252530136783,-1.09307545078122,-1.2715445538179129,0.02719695469863217,-0.17846910303669286
33,no_variation,CASTLES (Taylor 33),007,balanced,terminal,0.10831129,0.14018845518206624,-0.9653262716374112,-0.8532877499725569,0.031877165182066236,0.11203852166485426
