,Condition,Method,replicate,RMSE,Log Error,#Negative Branches,RMSE (terminal),Log Error (terminal),#Negative Branches (terminal),RMSE (internal),Log Error (internal),#Negative Branches (internal)
0,no_variation,CASTLES (Integrals),001,0.0019407625031188512,0.0050557937672702545,0,0.002347094522829973,0.0053800056058972085,0,0.0005310102469251676,0.004407370090016347,0
1,no_variation,CASTLES (Integrals),002,0.004831507637578666,0.07063050544702264,0,0.00551043263098151,0.10368764490262446,0,0.0030496987711528733,0.00451622653581898,0
2,no_variation,CASTLES (Integrals),003,0.01113254157441263,0.11075903513740111,0,0.013010012824536997,0.044761914128906614,0,0.005768845493583838,0.2427532771543901,0
3,no_variation,CASTLES (Integrals),004,0.002423922091396915,0.041988119493709834,0,0.0025826932086719435,0.051971766234618834,0,0.002070165813466551,0.02202082601189184,0
4,no_variation,CASTLES (Integrals),005,0.013144866662124319,0.06417298316377165,0,0.016092825845260676,0.08682461303179148,0,0.0006359805997842903,0.018869723427732018,0
5,no_variation,CASTLES (Integrals),006,0.006998579020952459,0.023133020756965657,0,0.008536445957588498,0.03317685289028098,0,0.0010947628802117847,0.003045356490335002,0
6,no_variation,CASTLES (Integrals),007,0.01629639352282983,0.06899203113579493,0,0.019168865819941476,0.08739290657080562,0,0.007862982379921064,0.03219028026577355,0
7,no_variation,CASTLES (Integrals),008,0.007046304682564732,0.1042047891690809,0,0.007076889099340299,0.04521611270015301,0,0.006984734095860623,0.22218214210693668,0
8,no_variation,CASTLES (Integrals),009,0.02075751159553392,0.05249925528116232,0,0.024819848712904127,0.07395944477755904,0,0.0077828711060429325,0.009578876288368876,0
9,no_variation,CASTLES (Integrals),010,0.00861899243162839,0.04011175683997641,0,0.010552688492135028,0.05969835666416455,0,0.00037765431988036547,0.0009385571916001524,0
10,no_variation,CASTLES (Integrals),011,0.009092123237955382,0.04643148002503078,0,0.009632517573061855,0.05787451104715795,0,0.007901223027596037,0.02354541798077644,0
11,no_variation,CASTLES (Integrals),012,0.003004174221219611,0.03640985233701481,0,0.0027406829535531656,0.03721807925040346,0,0.003471671377093109,0.0347933985102375,0
12,no_variation,CASTLES (Integrals),013,0.004308178763944171,0.016724866559611345,0,0.005252460520127572,0.02331985286139885,0,0.0007103025801029986,0.00353489395603633,0
13,no_variation,CASTLES (Integrals),014,0.0034245849495705928,0.03913582659815934,0,0.004075294288759381,0.05275379170292285,0,0.0014026044169638862,0.011899896388632312,0
14,no_variation,CASTLES (Integrals),015,0.013796953936727639,0.01683389791672112,0,0.016882288365759973,0.02221768017738605,0,0.0010220043381530112,0.006066333395391264,0
15,no_variation,CASTLES (Integrals),016,0.012818696141082171,0.034966794650805946,0,0.01545507748708594,0.046635197703922285,0,0.0039035973163895335,0.01162998854457327,0
16,no_variation,CASTLES (Integrals),017,0.007911468405588777,0.029510305546947845,0,0.00955029144824539,0.02302674651592672,0,0.002314705921932694,0.04247742360899008,0
17,no_variation,CASTLES (Integrals),018,0.023377811352226108,0.030062765950752357,0,0.02644226854880132,0.03695002393689717,0,0.01552994072258361,0.01628824997846274,0
18,no_variation,CASTLES (Integrals),019,0.009875599619469193,0.03430361324912464,0,0.011933430931421029,0.049679595281658,0,0.0027872667511718227,0.003551649184057925,0
19,no_variation,CASTLES (Integrals),020,0.008381974811683778,0.06888386001514925,0,0.00967027355329448,0.09475369188975831,0,0.004872794274336909,0.017144196265931125,0
20,no_variation,CASTLES (Integrals),021,0.007503844932370928,0.03874678031858223,0,0.008818724808403941,0.03692410745334973,0,0.003658312700479328,0.042392126049047234,0
21,no_variation,CASTLES (Integrals),022,0.007599230316724348,0.16497688705352562,0,0.009148015064127072,0.24413393252662804,0,0.0024233334464896913,0.006662796107320793,0
22,no_variation,CASTLES (Integrals),023,0.004261481809441769,0.013370780500059881,0,0.005205454109978633,0.018387516096995515,0,0.0005358886586058754,0.00333730930618861,0
23,no_variation,CASTLES (Integrals),024,0.01598935414330643,0.0595490629192959,0,0.019306972173148414,0.07840988812396578,0,0.004632492716751646,0.02182741250995616,0
24,no_variation,CASTLES (Integrals),025,0.0022170665901179217,0.02842069845202937,0,0.0023225272048803445,0.040331980592403366,0,0.0019894440329480782,0.004598134171281372,0
25,no_variation,CASTLES (Integrals),026,0.005509826719285523,0.010177225628554795,0,0.006744933708053308,0.014794364152795642,0,0.00029378559799716255,0.0009429485800730986,0
26,no_variation,CASTLES (Integrals),027,0.018368637918657657,0.04666213423039941,0,0.022421729507852636,0.06379009976022205,0,0.002598589754775561,0.012406203170754132,0
27,no_variation,CASTLES (Integrals),028,0.013511119896309069,0.07117039474591012,0,0.01643575423349591,0.10345713004030743,0,0.0027171764958424873,0.006596924157115503,0
28,no_variation,CASTLES (Integrals),029,0.027998224751761638,0.14351279681623555,0,0.03379204260768189,0.1181522299928777,0,0.008239992751920154,0.19423393046295126,0
29,no_variation,CASTLES (Integrals),030,0.01646450409197517,0.030192242017654674,0,0.02003555685218069,0.03712046598132976,0,0.0032237568503335153,0.016335794090304483,0
30,no_variation,CASTLES (Integrals),031,0.00930037443070378,0.07876382075972513,0,0.010527656883530048,0.03413951424415464,0,0.006150428825634089,0.1680124337908661,0
31,no_variation,CASTLES (Integrals),032,0.004551756353072787,0.040037646437255214,0,0.00551087656333474,0.05845718583162063,0,0.0011899313848248605,0.003198567648524387,0
32,no_variation,CASTLES (Integrals),033,0.003098390260740264,0.012762123372699366,0,0.003164895793533385,0.011894982576349609,0,0.0029609011897899825,0.014496404965398878,0
33,no_variation,CASTLES (Integrals),034,0.006031853997212721,0.0204600392720725,0,0.007370042150383235,0.027991657385977177,0,0.0007174575487247621,0.005396803044263147,0
34,no_variation,CASTLES (Integrals),035,0.004956231882827136,0.04842921905559731,0,0.005912314368957725,0.070391867823687,0,0.0019446801881771443,0.0045039215194179055,0
35,no_variation,CASTLES (Integrals),036,0.005714110144154331,0.07991653342486939,0,0.006922065551346998,0.018958274616088577,0,0.0014571140052489582,0.201833051042431,0
36,no_variation,CASTLES (Integrals),037,0.0030315328560279334,0.021587648152482052,0,0.0034463845923850766,0.02864087884991216,0,0.001953315349418043,0.007481186757621834,0
37,no_variation,CASTLES (Integrals),038,0.014506327164041292,0.05852385134591558,0,0.01775481142901822,0.0833559144176927,0,0.0009131952751821098,0.00885972520236134,0
38,no_variation,CASTLES (Integrals),039,0.01678660550013576,0.07545956370193445,0,0.02031661616920707,0.09064652704148533,0,0.004454277440594814,0.045085637022832664,0
39,no_variation,CASTLES (Integrals),040,0.010883471111376178,0.0432173697791951,0,0.013287265991541258,0.0593723208865253,0,0.0014989847352597165,0.01090746756453472,0
40,no_variation,CASTLES (Integrals),041,0.00954499846476512,0.046923205464233175,0,0.011654737230182267,0.06786122035465497,0,0.0012865408147090351,0.0050471756833895595,0
